isbn,author_id
6154685511062,1
6188851281970,1
6188851281970,1
6188851281970,1
6770247106094,1
8464666111021,1
5691952700853,1
8283568108796,1
2024105311182,1
1675444654555,1
4837554180545,1
7279179537204,1
7619888788267,1
9246173481517,1
2873036381719,1
3125236783111,1
8694496597662,1
9809248451281,1
7862477807408,1
2652552487828,1
6651008185365,1
4987994407706,1
4432202961245,1
4257512134181,1
8161303049433,1
2697522081119,1
6581586300331,1
1880407177445,1
7675500018100,1
4156812356932,1
4766868237897,1
7319061469551,1
4889550551253,1
3837761196096,1
4479982493890,1
2940008788353,1
7321934317750,1
8557182280555,1
7627677672309,1
2216627374571,1
8348705742373,1
3776754078405,1
3955725796217,1
7205563422030,1
5160049978480,1
4907463686118,1
2909373801924,1
7326140693820,1
1365859729666,1
5162976806389,1
1928325595604,1
9756872380453,1
6188231096689,1
7965032352410,1
4421941077373,1
2067815771032,1
2227859914044,1
5577914191706,2
9374999646238,2
6815523023411,2
9371325314773,2
5189532085752,2
8123235701698,2
2736116490107,2
6448384889958,2
3773692020145,2
2957362406189,2
4888348997741,2
9612615036105,2
9426931510245,2
6953186086938,2
9421124369990,2
2295374450238,2
3511336588973,2
8725903746350,2
9267778813279,2
2452975055125,2
5752733249319,2
7293121333216,2
7605806763519,2
4030141717532,2
9885706676870,2
3467796204466,2
9285658475131,2
8820821457890,2
8044296006881,2
3054267880791,2
8453672706331,2
8409993445406,2
9003237416443,2
1697109194615,2
2194963890440,2
7808857671130,2
3757303629244,2
4979289452202,2
2796087227697,3
1414321428409,3
8589415376890,3
3637209539582,3
9093357980543,3
7826853353442,3
7593483591809,3
9001122972723,3
6095532481115,3
6925775917560,3
6474077539453,3
9223864929479,3
6895984129610,3
9921346540651,3
6169514259631,3
2154201421986,3
8186920009619,3
3766013981448,3
2321627279428,3
3073899501119,3
3002799960632,3
7040330532640,3
2363824744448,3
7422935902570,3
1296221116196,3
3028979570071,3
6789629869735,3
9188823218029,3
4528807848285,3
1475105445600,3
9498460513501,3
4043829784102,3
9044653519069,3
8026527935172,3
5518041845961,3
1475263649648,3
3580370897575,3
2347038577858,3
5112845382199,3
2642100803472,3
9396995726593,3
1346764949528,3
8341269263622,3
9459464810753,3
3626156353820,3
8067424100755,3
3192603951349,3
8448480970895,3
7441692667189,3
5975803886722,3
9396809002141,3
6760595239627,3
2070994709511,3
5031110845488,4
2139842009724,4
9495575673767,4
9788336865406,4
2529348232562,4
3167807675801,4
5139138115877,4
6092260177279,4
9351041523645,4
1526718718907,4
3748467576850,5
5316908423826,5
6125385565289,5
4859106550953,5
2582797248756,5
7217662423561,5
8881460475067,5
4442768147421,5
1740367221003,5
9351041523645,5
5660604365747,6
8008722475329,6
8008722475329,6
8008722475329,6
4837554180545,6
3686547326424,6
3961787114350,6
2469026426096,6
5076037518005,6
5660604365747,7
8008722475329,7
8113510400557,7
1334464554409,7
7289265455598,7
4437816438209,7
5660604365747,8
9616425385685,8
6655035230450,8
5660604365747,9
3040288185959,9
4929351066542,9
4929351066542,9
4298528558207,9
8614237604138,9
5660604365747,10
5660604365747,11
5660604365747,12
5660604365747,13
8008722475329,13
7933553971812,13
8704808489894,13
5076037518005,13
5660604365747,14
5660604365747,15
9274702480014,16
9002404042236,16
6845893138858,16
2225499034954,16
5471027080652,16
4421044932291,16
7606671216929,16
4788366311424,16
8335977293745,16
9922722037509,16
4039541670644,16
4204882839064,16
4306145450235,16
1431924076571,16
4084285591313,16
1296221116196,16
6639518021477,16
3012889218925,16
6529784557209,16
5342493382707,16
3441120979424,16
3075113638408,17
2669392284463,17
5373763990764,17
4097794227768,17
4180014997584,17
7303384650134,17
8115320077263,17
9402180169429,17
2977602709322,17
7331093004855,17
2472886514441,17
1021463224522,17
4669324839769,17
9633888198774,17
8925309244990,17
9291297589923,17
6398851901560,17
8827916008838,17
3800483838877,17
4352582442647,17
8543307888545,17
5109453267306,17
5921202034030,17
7785382361447,17
7547736780666,17
8924139449183,17
7842433158443,17
8444310276231,17
7790649168041,17
5268238093068,17
1892438598063,17
9513489050004,17
4175643474613,17
5805654778245,17
1215476238983,17
8611443588379,17
2493361854696,17
9205132872669,17
1355958974374,17
1481085424819,17
6046189617181,17
9022294040259,17
9792076057240,17
5756074335745,17
6734287142829,17
7465845888992,17
7321934317750,17
4911868376470,17
7627677672309,17
2216627374571,17
6473486441687,17
